source_plate,source_position,dest_plate,destination_position,transfer_volume
media,1,balanced_culture,1,440
media,1,balanced_culture,2,721
media,1,balanced_culture,3,743
media,1,balanced_culture,4,795
media,1,balanced_culture,5,866
media,1,balanced_culture,6,900
media,1,balanced_culture,6,104
media,1,balanced_culture,7,625
media,1,balanced_culture,8,455
media,1,balanced_culture,9,584
media,1,balanced_culture,10,543
media,1,balanced_culture,11,650
media,1,balanced_culture,12,790
media,1,balanced_culture,13,625
media,1,balanced_culture,14,521
media,1,balanced_culture,15,604
media,1,balanced_culture,16,553
media,1,balanced_culture,17,844
media,1,balanced_culture,18,767
media,1,balanced_culture,19,616
media,1,balanced_culture,20,461
media,1,balanced_culture,21,659
media,1,balanced_culture,22,535
media,1,balanced_culture,23,763
media,1,balanced_culture,24,856
